College Name,City,Branch,Category,Cutoff
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,75.65
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,64.71
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,81.33
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,5.75
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,32.09
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,81.13
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,68.12
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,61.8
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,66.39
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,68.38
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,78.61
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,45.36
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,81.65
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,69.33
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,31.92
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,71.66
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,79.69
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,25.99
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,17.68
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,78.43
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,86.68
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,83.11
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,83.77
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,85.62
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electronics and Telecommunication Engg,OPEN,80.36
