College Code,College Name,Choice Code,Course Name,Stage,Category,Cutoff Rank,Percentile,City
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,PWDOBCH,98128,68.3753318,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,GOPENO,26074,92.3826851,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,GSCO,46977,85.9124978,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,GSTO,82594,73.8000589,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,GOBCO,30036,91.2776413,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,GSEBCO,37515,88.9550679,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,LOPENO,28324,91.7146701,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,LSCO,49061,85.2260888,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,LVJO,57207,82.8332926,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,LNT2O,65964,79.8919296,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,LOBCO,28406,91.7067224,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,LSEBCO,57815,82.4521073,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,DEFOPENS,84308,73.5570613,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,TFWS,27585,91.9353149,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,DEFROBCS,120974,58.4401523,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,EWS,72125,78.0104170,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,I,GOPENH,75325,76.8955509,Yavatmal
